,Judul berita
0,"Dr Andriyanto, Alumnus UNAIR yang Dilantik Menjadi Pj Bupati Pasuruan"
1,"UNAIR Raih 4,5 Trees Rating pada UI GreenMetric World University Ranking"
2,Pakar Politik UNAIR Sebut Pengusungan Gibran Jadi Strategi Jangka Panjang
3,"Berkomitmen Tingkatkan Transparansi Informasi, UNAIR Gabung JDIH"
4,"Komitmen Tingkatkan Kualitas Pendidikan, Rektor UNAIR Kukuhkan Enam Guru Besar"
5,"Tambah Lagi, UNAIR Kini Miliki 11 Jurnal Ilmiah Terindeks Scopus"
6,UNAIR Raih Anugerah Jatim Bangkit Awards Berkat Sukseskan Pemulihan Pandemi
7,"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Ajak Akademisi Tingkatkan Daya Kritis"
8,"Beri Kuliah Tamu di UNAIR, Mahfud MD Tekankan Pentingnya Politik Kebangsaan"
9,UNAIR Anugerahi Khofifah Gelar Doktor Honoris Causa
10,"UNAIR Luluskan 1.382 Wisudawan, Rektor: Anda Orang-Orang Terpilih"
11,Rektor Beri Pesan Gubes untuk Bumikan Ilmu Pengetahuan
12,UNAIR Bagikan 1974 Sertifikat Halal Gratis untuk UMKM
13,"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Tekankan Kerja Sama Riset Internasional"
14,UNAIR Tingkatkan Kontribusi dengan Tambah 7 Guru Besar Baru
15,UNAIR Duduki Peringkat Kedua Nasional Versi THE WUR
16,"Dukung Merdeka Belajar, UNAIR Berikan Ruang Eksplorasi Bagi Mahasiswa"
17,Pengukuhan Gubes Wujudkan UNAIR Jadi SMART University
18,"Jadi Tuan Rumah The 6th ASEAN+3 Rector’s Conference, UNAIR Tekankan Pentingnya Kolaborasi"
19,Intip Kisah Guru Besar UNAIR yang 18 Tahun Mengabdi Jadi Dokter Forensik
20,"Kukuhkan Gubes, Rektor: Semoga Target Segera Tercapai"
21,"Singkirkan Puluhan Peserta, Mahasiswa UNAIR Bawa Pulang Medali Emas"
22,"Jadi Pionir, FKH UNAIR Adakan Program MBKM di 10 Wilayah Jatim"
23,Resmi! UNAIR Bakal Miliki Plaza Airlangga
24,"Menkes Luncurkan Permenkes Rumah Sakit Kapal, Berobat di RSTKA Kini Bisa Pakai BPJS"
25,Pengukuhan Guru Besar Jadi Tambahan Energi bagi UNAIR
26,"Kukuhkan Empat Guru Besar FK, Rektor UNAIR Tekankan Kecintaan pada Ilmu"
27,"Masuk Deretan Top 100 Peneliti Indonesia, Wakil Rektor UNAIR Bagikan Tips bagi Peneliti Pemula"
28,UNAIR Siap Tingkatkan Kontribusi dengan 12 Guru Besar Baru
